title,cuisine,ingredients,steps,url
Apple Parsnip Soup,,9,6,https://en.wikibooks.org/wiki/Cookbook%3AApple_Parsnip_Soup
User:Arifys/Tomatoes with Chile and Onion (Baladho),,10,3,https://en.wikibooks.org/wiki/User%3AArifys/Tomatoes_with_Chile_and_Onion_%28Baladho%29
Apricot Chicken Salad,,7,3,https://en.wikibooks.org/wiki/Cookbook%3AApricot_Chicken_Salad
Ashwe Soup,,7,5,https://en.wikibooks.org/wiki/Cookbook%3AAshwe_Soup
Apple Jelly,,6,4,https://en.wikibooks.org/wiki/Cookbook%3AApple_Jelly
Applesauce Cake,,11,7,https://en.wikibooks.org/wiki/Cookbook%3AApplesauce_Cake
Ashoka Halwa (Mung Bean Pudding),,8,8,https://en.wikibooks.org/wiki/Cookbook%3AAshoka_Halwa_%28Mung_Bean_Pudding%29
Asida (Sudanese Porridge),,6,6,https://en.wikibooks.org/wiki/Cookbook%3AAsida_%28Sudanese_Porridge%29
Apple Crisp II,,8,4,https://en.wikibooks.org/wiki/Cookbook%3AApple_Crisp_II
Apple Crisp III,,13,6,https://en.wikibooks.org/wiki/Cookbook%3AApple_Crisp_III
Asaro,,11,7,https://en.wikibooks.org/wiki/Cookbook%3AAsaro
Atkins-Friendly Mock Tiramisu,,5,2,https://en.wikibooks.org/wiki/Cookbook%3AAtkins-Friendly_Mock_Tiramisu
Atkins-Friendly Chocolate Mousse,,1,4,https://en.wikibooks.org/wiki/Cookbook%3AAtkins-Friendly_Chocolate_Mousse
Au Jus Sandwich,,9,3,https://en.wikibooks.org/wiki/Cookbook%3AAu_Jus_Sandwich
Baingan Bartha (South Indian Eggplant with Coconut and Chili) I,Indian,6,6,https://en.wikibooks.org/wiki/Cookbook%3ABaingan_Bartha_%28South_Indian_Eggplant_with_Coconut_and_Chili%29_I
Azteca (Aztec-inspired Bean Soup),,7,3,https://en.wikibooks.org/wiki/Cookbook%3AAzteca_%28Aztec-inspired_Bean_Soup%29
Bacon Cheese Omelet,,4,11,https://en.wikibooks.org/wiki/Cookbook%3ABacon_Cheese_Omelet
Baba Ganoush,,7,3,https://en.wikibooks.org/wiki/Cookbook%3ABaba_Ganoush
Asparagus Soup,,6,7,https://en.wikibooks.org/wiki/Cookbook%3AAsparagus_Soup
Ayran (Turkish Yogurt Drink),,4,2,https://en.wikibooks.org/wiki/Cookbook%3AAyran_%28Turkish_Yogurt_Drink%29
Bacon-Wrapped Scallops,,6,7,https://en.wikibooks.org/wiki/Cookbook%3ABacon-Wrapped_Scallops
Baked Brunch Omelet,,8,4,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Brunch_Omelet
Asparagus Frittata,,9,9,https://en.wikibooks.org/wiki/Cookbook%3AAsparagus_Frittata
Baked Beans,American,5,5,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Beans
Asparagus with Sesame Seeds and Soy Sauce,,5,7,https://en.wikibooks.org/wiki/Cookbook%3AAsparagus_with_Sesame_Seeds_and_Soy_Sauce
Bacon and Egg Stuffed Tomatoes,,10,8,https://en.wikibooks.org/wiki/Cookbook%3ABacon_and_Egg_Stuffed_Tomatoes
Babi Panggang Sauce,,7,3,https://en.wikibooks.org/wiki/Cookbook%3ABabi_Panggang_Sauce
Austrian Napkin Dumpling (Serviettenknödel),,7,8,https://en.wikibooks.org/wiki/Cookbook%3AAustrian_Napkin_Dumpling_%28Serviettenkn%C3%B6del%29
Austrian Apricot Dumplings (Marillenknödel),,12,9,https://en.wikibooks.org/wiki/Cookbook%3AAustrian_Apricot_Dumplings_%28Marillenkn%C3%B6del%29
Bacon and Egg Pie,British,7,6,https://en.wikibooks.org/wiki/Cookbook%3ABacon_and_Egg_Pie
Bagel Toast,,8,11,https://en.wikibooks.org/wiki/Cookbook%3ABagel_Toast
Austrian Meatloaf (Faschierter Braten),,14,7,https://en.wikibooks.org/wiki/Cookbook%3AAustrian_Meatloaf_%28Faschierter_Braten%29
Backyard BBQ Chicken,,11,5,https://en.wikibooks.org/wiki/Cookbook%3ABackyard_BBQ_Chicken
Backyard Barbecue Ribs,,13,6,https://en.wikibooks.org/wiki/Cookbook%3ABackyard_Barbecue_Ribs
Baked Brie in Puff Pastry,,5,4,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Brie_in_Puff_Pastry
Baked Chicken Breasts,,5,3,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Chicken_Breasts
Bachelor Fish Stew,,7,3,https://en.wikibooks.org/wiki/Cookbook%3ABachelor_Fish_Stew
Atropellado de Coco (Coconut and Sweet Potato Dessert),Mexican,5,5,https://en.wikibooks.org/wiki/Cookbook%3AAtropellado_de_Coco_%28Coconut_and_Sweet_Potato_Dessert%29
Baked Cabbage and Bacon,,9,5,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Cabbage_and_Bacon
Avocado Relish,,4,3,https://en.wikibooks.org/wiki/Cookbook%3AAvocado_Relish
Asun (Goat in Pepper Sauce),,7,9,https://en.wikibooks.org/wiki/Cookbook%3AAsun_%28Goat_in_Pepper_Sauce%29
Ata Ekuru (Ekuru Sauce),,11,4,https://en.wikibooks.org/wiki/Cookbook%3AAta_Ekuru_%28Ekuru_Sauce%29
Ayamase Jollof Rice,,14,8,https://en.wikibooks.org/wiki/Cookbook%3AAyamase_Jollof_Rice
Atama Soup,,12,8,https://en.wikibooks.org/wiki/Cookbook%3AAtama_Soup
Atyever Soup,,7,4,https://en.wikibooks.org/wiki/Cookbook%3AAtyever_Soup
Asida bil Zibda (Libyan Semolina Pudding),,7,8,https://en.wikibooks.org/wiki/Cookbook%3AAsida_bil_Zibda_%28Libyan_Semolina_Pudding%29
Ayib (Ethiopian Fresh Cheese),,3,11,https://en.wikibooks.org/wiki/Cookbook%3AAyib_%28Ethiopian_Fresh_Cheese%29
Avocado Coconut Smoothie,,5,2,https://en.wikibooks.org/wiki/Cookbook%3AAvocado_Coconut_Smoothie
Atkilt Wat (Ethiopian Cabbage and Potato Stew),,14,9,https://en.wikibooks.org/wiki/Cookbook%3AAtkilt_Wat_%28Ethiopian_Cabbage_and_Potato_Stew%29
Awaze Tibs (Spicy Ethiopian Meat Stir-Fry),,13,9,https://en.wikibooks.org/wiki/Cookbook%3AAwaze_Tibs_%28Spicy_Ethiopian_Meat_Stir-Fry%29
Baingan Bartha (South Indian Eggplant with Chili) II,,12,6,https://en.wikibooks.org/wiki/Cookbook%3ABaingan_Bartha_%28South_Indian_Eggplant_with_Chili%29_II
Awug,,5,7,https://en.wikibooks.org/wiki/Cookbook%3AAwug
Bafa (Cape Verdean Seafood Stew),,16,16,https://en.wikibooks.org/wiki/Cookbook%3ABafa_%28Cape_Verdean_Seafood_Stew%29
Banana Curry,,10,5,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Curry
Baked Leeks,,8,7,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Leeks
Banana Chocolate Bread Pudding,,9,15,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Chocolate_Bread_Pudding
Banana Caramel Dessert,British,6,5,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Caramel_Dessert
Banana Cream Pie II,,10,11,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Cream_Pie_II
Banana Nut Muffins,,11,6,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Nut_Muffins
Baked Oatmeal,,8,3,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Oatmeal
Baked Custard,,6,5,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Custard
Baked Pork Chops,,6,5,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Pork_Chops
Banana Chip Muffins,,8,4,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Chip_Muffins
Baked Ziti,Italian,13,6,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Ziti
Baloney Sandwich,American,3,2,https://en.wikibooks.org/wiki/Cookbook%3ABaloney_Sandwich
"Baked Chicken with Onions, Sumac and Allspice (Musakhan)",,9,9,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Chicken_with_Onions%2C_Sumac_and_Allspice_%28Musakhan%29
Balsamic Glaze,,8,8,https://en.wikibooks.org/wiki/Cookbook%3ABalsamic_Glaze
Banana Cream-Crunch Pie,,7,9,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Cream-Crunch_Pie
Banana Nutmeg Pancakes,,13,14,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Nutmeg_Pancakes
Baked Eggplant,,13,11,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Eggplant
Baked Tilapia with White Wine,,10,5,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Tilapia_with_White_Wine
Balsamic Dressing,Italian,5,3,https://en.wikibooks.org/wiki/Cookbook%3ABalsamic_Dressing
Balsamic Steak and Brie Paninis,,7,6,https://en.wikibooks.org/wiki/Cookbook%3ABalsamic_Steak_and_Brie_Paninis
Baked Penne,Italian,12,7,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Penne
Baked Lemon Thyme Halibut,,6,3,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Lemon_Thyme_Halibut
Banana Coffee Frappe,,4,3,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Coffee_Frappe
Baked Potato Halves,,3,6,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Potato_Halves
Banana Pecan Bread,,9,7,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Pecan_Bread
Banana Bread with Walnuts,,9,8,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Bread_with_Walnuts
Banana Cream I,,7,4,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Cream_I
Banana Cream II,,6,5,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Cream_II
Banana Milkshake,,4,2,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Milkshake
Balangu (Nigerian Spiced Ram Meat),,8,5,https://en.wikibooks.org/wiki/Cookbook%3ABalangu_%28Nigerian_Spiced_Ram_Meat%29
Banana Cake,,11,10,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Cake
User:Bamjos/Cornchaff Recipe,,12,6,https://en.wikibooks.org/wiki/User%3ABamjos/Cornchaff_Recipe
Banana Chocolate Chip Muffins,,15,8,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Chocolate_Chip_Muffins
Baklava II,,8,13,https://en.wikibooks.org/wiki/Cookbook%3ABaklava_II
Baked Mac N Cheese,,3,6,https://en.wikibooks.org/wiki/Cookbook%3ABaked_Mac_N_Cheese
Barbecued Spare Ribs,American,12,5,https://en.wikibooks.org/wiki/Cookbook%3ABarbecued_Spare_Ribs
Basic Pizza Sauce,,3,3,https://en.wikibooks.org/wiki/Cookbook%3ABasic_Pizza_Sauce
Basic Indian Tomato Gravy,Indian,10,4,https://en.wikibooks.org/wiki/Cookbook%3ABasic_Indian_Tomato_Gravy
Basic Scrambled Eggs,,5,9,https://en.wikibooks.org/wiki/Cookbook%3ABasic_Scrambled_Eggs
Barbecue Sauce (Kansas City-style),,11,3,https://en.wikibooks.org/wiki/Cookbook%3ABarbecue_Sauce_%28Kansas_City-style%29
Basic Mayonnaise,,5,9,https://en.wikibooks.org/wiki/Cookbook%3ABasic_Mayonnaise
Barbecue Sauce I,,10,2,https://en.wikibooks.org/wiki/Cookbook%3ABarbecue_Sauce_I
Barbecue Sauce (Sweet),,12,4,https://en.wikibooks.org/wiki/Cookbook%3ABarbecue_Sauce_%28Sweet%29
Basic Flapjacks,,4,7,https://en.wikibooks.org/wiki/Cookbook%3ABasic_Flapjacks
Basic Whipped Cream,,3,5,https://en.wikibooks.org/wiki/Cookbook%3ABasic_Whipped_Cream
Basic Chai,,6,5,https://en.wikibooks.org/wiki/Cookbook%3ABasic_Chai
Basic Scones,,6,7,https://en.wikibooks.org/wiki/Cookbook%3ABasic_Scones
Basic Mulling Spice,,5,4,https://en.wikibooks.org/wiki/Cookbook%3ABasic_Mulling_Spice
Basic Cobbler,American,7,5,https://en.wikibooks.org/wiki/Cookbook%3ABasic_Cobbler
Basic Polenta,Italian,5,4,https://en.wikibooks.org/wiki/Cookbook%3ABasic_Polenta
Basted Egg,,3,4,https://en.wikibooks.org/wiki/Cookbook%3ABasted_Egg
Bangladesh Curry,,17,9,https://en.wikibooks.org/wiki/Cookbook%3ABangladesh_Curry
Banana Split II,,6,6,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Split_II
Barbecue Prime Rib,,4,6,https://en.wikibooks.org/wiki/Cookbook%3ABarbecue_Prime_Rib
Barbecue Beef Brisket Sandwiches,,8,5,https://en.wikibooks.org/wiki/Cookbook%3ABarbecue_Beef_Brisket_Sandwiches
Barbecue Ribs,,8,6,https://en.wikibooks.org/wiki/Cookbook%3ABarbecue_Ribs
Barbecue Potato Chips,,3,4,https://en.wikibooks.org/wiki/Cookbook%3ABarbecue_Potato_Chips
Basic Lasagna,Italian,7,6,https://en.wikibooks.org/wiki/Cookbook%3ABasic_Lasagna
Basic Vinaigrette,,5,4,https://en.wikibooks.org/wiki/Cookbook%3ABasic_Vinaigrette
Barbecue Wings,,8,4,https://en.wikibooks.org/wiki/Cookbook%3ABarbecue_Wings
Barbecue Meatloaf,American,17,10,https://en.wikibooks.org/wiki/Cookbook%3ABarbecue_Meatloaf
Banana Split I,,6,4,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Split_I
Beach Tropicana,,6,2,https://en.wikibooks.org/wiki/Cookbook%3ABeach_Tropicana
Banga Rice,,10,6,https://en.wikibooks.org/wiki/Cookbook%3ABanga_Rice
Banana Spirulina Pancakes,,9,10,https://en.wikibooks.org/wiki/Cookbook%3ABanana_Spirulina_Pancakes
Basin Ki Kadi (Sindhi Chickpea Flour Curry),,11,5,https://en.wikibooks.org/wiki/Cookbook%3ABasin_Ki_Kadi_%28Sindhi_Chickpea_Flour_Curry%29
Bassi-Salté (Senegalese Couscous with Meat and Vegetables),,15,8,https://en.wikibooks.org/wiki/Cookbook%3ABassi-Salt%C3%A9_%28Senegalese_Couscous_with_Meat_and_Vegetables%29
Bazeen bil Lahm (Libyan Meat Bazeen),,17,11,https://en.wikibooks.org/wiki/Cookbook%3ABazeen_bil_Lahm_%28Libyan_Meat_Bazeen%29
Barbecue Sauce II,,3,2,https://en.wikibooks.org/wiki/Cookbook%3ABarbecue_Sauce_II
Basic French Macarons,,6,10,https://en.wikibooks.org/wiki/Cookbook%3ABasic_French_Macarons
Banga Soup,,10,6,https://en.wikibooks.org/wiki/Cookbook%3ABanga_Soup
Bengal Potatoes,Indian,5,7,https://en.wikibooks.org/wiki/Cookbook%3ABengal_Potatoes
Beef Gravy Soup,,6,4,https://en.wikibooks.org/wiki/Cookbook%3ABeef_Gravy_Soup
Beer Marinated Shrimp,,8,5,https://en.wikibooks.org/wiki/Cookbook%3ABeer_Marinated_Shrimp
Beef Jerky,,7,4,https://en.wikibooks.org/wiki/Cookbook%3ABeef_Jerky
Bean Jahni Soup,,8,3,https://en.wikibooks.org/wiki/Cookbook%3ABean_Jahni_Soup
Beet and Cabbage Stew,,11,5,https://en.wikibooks.org/wiki/Cookbook%3ABeet_and_Cabbage_Stew
Bean Spelt Oat Spread,,4,3,https://en.wikibooks.org/wiki/Cookbook%3ABean_Spelt_Oat_Spread
Beef Heart Kabobs (Anticuchos),,8,4,https://en.wikibooks.org/wiki/Cookbook%3ABeef_Heart_Kabobs_%28Anticuchos%29
Bean-Semolina Burger,,8,6,https://en.wikibooks.org/wiki/Cookbook%3ABean-Semolina_Burger
Beef Stew I,,11,9,https://en.wikibooks.org/wiki/Cookbook%3ABeef_Stew_I
Beanburger,,7,7,https://en.wikibooks.org/wiki/Cookbook%3ABeanburger
